source	inter	target	btstp	index	?
MGP	-1	MGP	2.7	0	0
MGP	-1	SHY2	13.7	1.73	1.2
MGP	-1	ARR11	92.4	1.004	0.5
SHY2	1	ARF1	4.2	1.85	4
SHY2	-1	ADK2	17.2	1.677	1.5
SHY2	-1	HAM1	100	0.856	0.5
SHY2	-1	HAM3	94.9	1.504	0.5
BDL	-1	BDL	10.1	0	0
BDL	-1	MYC2	38.4	1.004	0.5
BDL	-1	CLV1	21.4	1.105	1.8
BDL	-1	ARR12	59.3	1.04	2.2
BDL	-1	MAIL1	34.3	1.223	0.2
AT1G04880	-1	SHY2	9	1.041	1
AT1G04880	-1	AT1G04880	6.5	0	0
AT1G04880	1	EGL3	100	1.227	2
AT1G04880	1	TMO7	100	1.078	2.5
AT1G04880	1	LHW	18.5	0.797	0.5
AT1G04880	-1	AHP2	85.6	1.106	1.3
AT1G04880	-1	LBD29	97	0.879	2
AT1G04880	1	ATML1	46.3	1.287	2.5
AT1G04880	-1	WOX13	93.2	0.781	1.8
AT1G04880	1	BRI1	41	1.218	1.8
AT1G04880	1	ARF8	49.8	0.745	1.2
AT1G04880	-1	CYP735A1	12.4	1.725	0.7
AT1G04880	1	CLV1.like3	25.6	0.975	1.2
ARR4	-1	APT1	100	0.854	2
ARR4	-1	ARR12	98.6	1.633	2.5
ARR4	-1	MEL1	100	1.468	1.2
IAA5	-1	LHW	0.3	1.44	0.2
IAA5	-1	HDG12	82.2	1.108	2
KMD2	1	KMD2	2.8	0	0
KMD2	1	WOX14	91.4	1.917	3.5
KMD2	-1	TTL1	24.4	2.011	3.2
KMD2	1	EXPA17	38.3	2.057	4.5
KMD2	-1	ADK2	100	1.398	1.5
WRI3	1	KMD2	35.2	1.557	5.5
WRI3	1	MYB52	100	1.084	0.5
WRI3	1	CLV2	100	0.837	0.5
WRI3	1	CYP735A2	94.9	1.662	2.5
WRI3	1	bZIP8	100	1.058	1
WRI3	1	AHK1	100	1.299	2
WRI3	1	U.box	100	1.073	0.5
WRI3	1	ABI8	100	1.545	1.5
WRI3	1	AT3G11280	100	1.058	0.5
WRI3	-1	ADK2	41.1	1.525	1.8
WRI3	1	YUC6	100	1.102	0.5
WRI3	1	ZF3	100	0.893	1.5
WRI3	-1	GH3.6	53.3	1.049	2
MYB52	1	AtMYB93	100	0.881	2
MYB52	1	CLV1.like4	100	1.335	2.5
MYB52	1	AHK1	100	0.92	2.5
MYB52	1	ARF18	16.9	2.333	2.8
MYB52	1	AT5G06270	63.5	1.737	2
MYB52	1	MYB56	0.7	1.861	1.8
MYB52	1	YUC6	27.2	0.773	0.5
MYB52	1	ARR6	99	1.473	2.5
ARR7	-1	ARR12	100	2.304	1.3
ARR7	-1	LBD17	94.9	3.179	0.5
ARR7	-1	BAK1	90.5	2.553	1
ARR7	1	LOG6	8.7	2.926	6
JAZ1	-1	JAZ1	18.6	0	0
JAZ1	-1	CRF12	13.5	1.056	0.5
JAZ1	1	AHK3	48.6	1.025	3
JAZ1	-1	PHV	100	1.088	0.2
JAZ1	-1	E2FC	59.8	0.955	2.8
JAZ1	1	IAA18	100	0.97	1.2
JAZ1	1	CLV1	98.6	1.024	2.5
JAZ1	1	ARF17	12.2	0.993	3
JAZ1	1	APT2	36.2	1.043	1
JAZ1	-1	WOL.AHK4	54.8	1.679	0.3
JAZ1	-1	EXPA4	72.1	1.2	0.7
JAZ1	1	IAA2	48.3	1.38	0.2
JAZ1	-1	CRF11	94.8	1.177	0.8
JAZ1	-1	ARF18	86.9	1.08	1
JAZ1	1	ARR2	100	0.786	0.2
JAZ1	-1	ARF16	77.8	1.336	2.2
JAZ1	1	HAT22	95.2	1.204	1.2
JAZ1	1	LOG7	83.8	1.365	0.5
JAZ1	-1	CLV1.like1	95.8	1.024	1
ARF19	-1	CLF	10.5	1.827	0.5
ARF19	1	AUX1	100	1.192	0.5
ARF19	-1	HAT2	8.9	3.539	5.8
MP	1	LOG4	100	1.81	1.2
MP	1	MAIN	100	1.073	0.8
WOX14	1	WOX14	0.8	0	0
WOX14	1	IAA1	48.6	1.209	3
WOX14	1	TMO6	24.5	1.581	3.2
CRF12	1	ABI8	100	0.799	1
CRF12	1	GCN5	27.7	1.759	0.8
CRF12	1	CLV1.like1	100	1.124	1.2
CRF12	1	NTT	71.6	1.115	2
B3	1	ARR4	20.5	1.449	3
B3	-1	B3	69.7	0	0
B3	1	CYP735A2	0.1	1.019	3
B3	1	CRF5	24.5	1.413	3
B3	-1	ADK1	13.7	1.248	0.5
FEZ	-1	FEZ	92.2	0	0
FEZ	1	RGF4	100	0.797	0.2
FEZ	-1	SLR	76.5	3.35	0.5
FEZ	1	MAB4	27.4	2.082	0.2
FEZ	-1	WOX13	5.1	2.206	0.2
FEZ	1	KAN1	100	1.318	1
FEZ	1	HAM1	28.6	2.461	1.5
FEZ	1	HAM2	100	1.725	1
ARF6	1	MP	100	1.379	2.2
ARF6	1	CRF2	16.4	1.365	3.3
ARF6	1	CYCD3.1	33.5	0.94	0.8
ARF6	1	LRP1	100	0.984	0.8
PHV	-1	IAA5	100	1.152	1
PHV	1	CRF10	100	1.305	0.2
PHV	1	CYCD2.1	46.8	2.294	0.8
PHV	1	PKL	22	1.712	1.2
PHV	1	TMO5	100	1.285	1.8
PHV	1	CRF11	97.2	1.268	0.2
PHV	-1	IAA11	98	1.086	1.8
PHV	1	ANT	61.6	1.299	1.5
PHV	-1	ARF7	60.1	1.243	2.8
PHV	-1	YUC5	100	1.244	0.2
PHV	1	ICR1	100	1.625	1.3
LBD4	1	WOX14	78.4	1.232	4.5
LBD4	1	PHV	100	1.03	0.2
LBD4	1	CRF10	99	0.875	1.5
LBD4	1	LAX3	62.8	0.849	0.2
LBD4	1	TMO5	98	1.107	1.2
LBD4	1	CRF11	92.9	0.806	0.5
LBD4	-1	ARR2	100	1.222	0.5
LBD4	1	TAR2	100	0.842	0.5
LBD4	1	ANT	87.8	0.701	0.8
LBD4	1	CKX3	17.7	1.077	1.8
MYC2	1	AHK3	48.6	0.994	3
MYC2	1	IAA18	100	1.125	1.8
MYC2	1	CNA	24.5	1.587	3.2
MYC2	1	CRF8	82.2	2.123	2.5
MYC2	1	CLV1	45.4	1.132	3
MYC2	1	ARF17	48.6	1.136	3
MYC2	1	YUC2	100	0.911	2
MYC2	1	HAT22	100	1.173	1.5
MYC2	1	LOG7	100	1.47	1.2
AtMYB93	1	B3	100	1.418	1
AtMYB93	1	CYP735A2	100	0.981	2
AtMYB93	1	LAX3	37.9	1.993	2.8
AtMYB93	1	CPC	100	1.363	2
AtMYB93	1	EXPA17	12.8	1.841	6
AtMYB93	1	CK	100	0.814	1.5
AtMYB93	-1	MEL1	100	2.141	1
AtMYB93	1	AT5G06270	100	1.293	1.3
AtMYB93	1	ARR6	72.7	1.174	0.5
PLT2	1	PIN1	7	2.341	0.7
PLT2	1	AHP6	100	1.119	2
PLT2	1	ARR14	100	1.802	1.2
PLT2	1	PID2	100	0.978	0.2
PLT2	-1	PGP4	85	1.896	0.2
PLT2	-1	SLR	37.7	3.322	1
PLT2	-1	PUCHI	36.7	2.619	1
PLT2	1	PI	88.9	1.078	1
PLT2	1	ADK1b	100	1.209	0.2
IAA18	-1	AGL14	16.4	3.042	3.3
CNA	-1	YUC3	54.8	2.584	2
CNA	1	ARF19	100	0.796	1.2
CNA	-1	WOL.AHK4	4.9	1.327	2.7
CNA	1	ARR8	96.8	1.283	0.7
CNA	1	LBD16	100	1.27	2
CNA	1	AFB2	77.6	0.938	0.2
CNA	1	IAA29	100	1.883	1.8
CNA	1	WOX13	100	1.015	2
CNA	-1	AGL14	100	1.783	2.3
TTL1	1	PIN3	100	1.632	1.8
TTL1	1	ARR8	83.8	1.807	0.5
TTL1	1	ADK1	100	1.341	0.8
TTL1	1	KRP2	47.1	2.012	0.7
TTL1	1	SCR	43.3	2.064	1.5
TTL1	1	ARR9	100	1.507	0.5
TTL1	1	SHP1	46.7	2.37	3
TTL1	1	ACS11	100	2.465	2.5
